start time,Solar power production forecast - hourly update MWh/h,Wind power generation - hourly energy data MWh/h,Load MWh/h,Import from Russia EUR/MWh,Load CITY Wh/h,Solar power CITY MWh/h,Wind CITY MWh/h
01/01/2017 08:00,1.854,137,9613,3.952,96.13,18.54,13.7
01/01/2017 09:00,2.187,101,9806,4.327,98.06,21.87,10.1
01/01/2017 10:00,2.544,117,9950,4.385,99.5,25.44,11.7
01/01/2017 11:00,2.351,125,9990,4.48,99.9,23.51,12.5
01/01/2017 12:00,2.182,127,10088,3.767,100.88,21.82,12.7
01/01/2017 13:00,1.659,162,10355,3.802,103.55,16.59,16.2
01/01/2017 14:00,0.486,164,10675,3.815,106.75,4.86,16.4
01/01/2017 15:00,0.198,176,10853,3.941,108.53,1.98,17.6
01/01/2017 16:00,0,206,10902,3.998,109.02,0,20.6
01/01/2017 17:00,0,195,10890,3.933,108.9,0,19.5
01/01/2017 18:00,0,233,10711,3.866,107.11,0,23.3
01/01/2017 19:00,0,235,10360,4.616,103.6,0,23.5
01/01/2017 20:00,0,232,10632,5.209,106.32,0,23.2
01/01/2017 21:00,0,212,10549,4.779,105.49,0,21.2
01/01/2017 22:00,0,248,10186,5.056,101.86,0,24.8
01/01/2017 23:00,0,237,9864,5.354,98.64,0,23.7
02/01/2017 00:00,0,247,9668,5.265,96.68,0,24.7
02/01/2017 01:00,0,216,9660,4.915,96.6,0,21.6
02/01/2017 02:00,0,182,9722,4.747,97.22,0,18.2
02/01/2017 03:00,0,209,10179,4.721,101.79,0,20.9
02/01/2017 04:00,0.061,214,10989,5.577,109.89,0.61,21.4
02/01/2017 05:00,0.028,220,11463,5.859,114.63,0.28,22
02/01/2017 06:00,0.452,237,11821,5.144,118.21,4.52,23.7
02/01/2017 07:00,0.799,260,11816,5.031,118.16,7.99,26
02/01/2017 08:00,0.807,248,11762,4.977,117.62,8.07,24.8
02/01/2017 09:00,1.04,190,11780,5.01,117.8,10.4,19
02/01/2017 10:00,1.099,151,11815,4.819,118.15,10.99,15.1
02/01/2017 11:00,1.199,131,11802,4.718,118.02,11.99,13.1
02/01/2017 12:00,1.168,105,11809,4.876,118.09,11.68,10.5
02/01/2017 13:00,1.077,98,12040,4.491,120.4,10.77,9.8
02/01/2017 14:00,0.289,89,12234,4.577,122.34,2.89,8.9
02/01/2017 15:00,0.106,94,12176,5.099,121.76,1.06,9.4
02/01/2017 16:00,0,94,12080,5.383,120.8,0,9.4
02/01/2017 17:00,0,75,12030,4.826,120.3,0,7.5
02/01/2017 18:00,0,53,11908,4.542,119.08,0,5.3
02/01/2017 19:00,0,52,11498,4.744,114.98,0,5.2
02/01/2017 20:00,0,45,11614,5.255,116.14,0,4.5
02/01/2017 21:00,0,43,11446,5.173,114.46,0,4.3
02/01/2017 22:00,0,64,10998,5.405,109.98,0,6.4
02/01/2017 23:00,0,67,10676,5.512,106.76,0,6.7
03/01/2017 00:00,0,69,10480,5.559,104.8,0,6.9
03/01/2017 01:00,0,80,10408,5.476,104.08,0,8
03/01/2017 02:00,0,92,10472,5.282,104.72,0,9.2
03/01/2017 03:00,0,109,10866,5.253,108.66,0,10.9
